GRID_ID,permit_count,total_value,mean_value,median_value,mean_assessment,n_properties,IAR,signal
GRID_00_02,4,42500,10625.0,10750.0,229313.84615384616,65,0.04633387899687361,Stable
GRID_00_03,1,11000,11000.0,11000.0,234838.46153846153,39,0.0468407088342232,Stable
GRID_01_02,2,97000,48500.0,48500.0,274034.0,50,0.176985337585847,Stable
GRID_02_02,1,100000,100000.0,100000.0,226234.78260869565,23,0.44201868009378487,Stable
GRID_03_01,3,3550000,1183333.3333333333,800000.0,729807.1428571428,28,1.6214329291169551,High Investment
GRID_03_02,1,66000,66000.0,66000.0,150840.0,5,0.4375497215592681,Low Base Value
GRID_03_16,1,2215000,2215000.0,2215000.0,104893.33333333333,15,21.11668997076395,⚠️ Pre-Gentrification Signal
GRID_04_01,4,349000,87250.0,14000.0,341954.347826087,46,0.25515101812471785,Stable
GRID_04_14,1,60000,60000.0,60000.0,167836.66666666666,30,0.3574904172707593,Low Base Value
GRID_04_16,1,40000,40000.0,40000.0,115055.55555555556,9,0.3476581361661033,Low Base Value
GRID_04_18,1,360000,360000.0,360000.0,62418.75,16,5.767497747071192,⚠️ Pre-Gentrification Signal
GRID_05_01,1,10000,10000.0,10000.0,7600.0,5,1.3157894736842106,⚠️ Pre-Gentrification Signal
GRID_05_02,3,37000,12333.333333333334,5000.0,214028.78787878787,132,0.05762464692515168,Stable
GRID_05_03,3,600000,200000.0,248000.0,370135.71428571426,42,0.5403423454717382,Stable
GRID_05_04,4,296000,74000.0,31000.0,415737.81512605044,119,0.1779967982406494,Stable
GRID_05_05,2,60000,30000.0,30000.0,312560.0,45,0.09598157153826466,Stable
GRID_06_03,3,60000,20000.0,5000.0,319570.96774193546,155,0.06258390786033695,Stable
GRID_06_04,13,1538000,118307.69230769233,20000.0,307709.0909090909,286,0.3844790284166319,Stable
GRID_06_05,5,83500,16700.0,15000.0,408682.35294117645,170,0.04086303183833266,Stable
GRID_06_06,5,301000,60200.0,10000.0,275123.40425531915,47,0.21881090110434,Stable
GRID_06_07,4,203325,50831.25,36500.0,267177.2549019608,255,0.19025290913574303,Stable
GRID_06_15,4,132000,33000.0,30000.0,148792.08633093524,139,0.22178598885026182,Low Base Value
GRID_07_03,1,2000,2000.0,2000.0,173128.94736842104,38,0.01155208317499886,Low Base Value
GRID_07_04,3,459200,153066.66666666666,7000.0,205983.33333333334,36,0.7431021927340399,⚠️ Pre-Gentrification Signal
GRID_07_05,11,369000,33545.454545454544,10000.0,317219.140625,256,0.10574851971215142,Stable
GRID_07_06,22,2734100,124277.27272727272,17500.0,359220.6896551724,551,0.34596357143729806,Stable
GRID_07_07,11,857865,77987.72727272728,50000.0,316523.47417840373,426,0.24638844709751498,Stable
